2025-06-13 03:09:45,819 - INFO - System Monitor: Staring system monitoring...
2025-06-13 03:09:45,828 - INFO - CPU: Usage: 9.5%
2025-06-13 03:09:45,828 - INFO - Memory: Usage: 85.6%
2025-06-13 03:09:45,849 - INFO - System Info: Hostname: LAPTOP-3E6EUQA8
2025-06-13 03:09:45,849 - INFO - System Info: Operating System: Windows 10
2025-06-13 03:09:45,849 - INFO - System Info: Python Version: 3.11.9
2025-06-13 03:09:45,861 - INFO - Network: Bytes Sent: 180469282, Bytes Received: 4371855318
2025-06-13 03:09:45,862 - INFO - Software: Running Software:
2025-06-13 03:11:38,772 - INFO - System Monitor: Starting system monitoring...
2025-06-13 03:11:38,780 - INFO - CPU: Usage: 10.5%
2025-06-13 03:11:38,781 - INFO - Memory: Usage: 90.1%
2025-06-13 03:11:40,283 - INFO - Software: PID: 12220, Name: svchost.exe, Username: None
2025-06-13 03:11:40,292 - INFO - Software: PID: 12576, Name: QcShm.exe, Username: None
2025-06-13 03:11:40,303 - INFO - Software: PID: 12692, Name: svchost.exe, Username: None
2025-06-13 03:11:40,312 - INFO - Software: PID: 12760, Name: svchost.exe, Username: None
2025-06-13 03:11:40,313 - INFO - Software: PID: 13056, Name: conhost.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,314 - INFO - Software: PID: 13204, Name: ASUSSmartDisplayControl.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,314 - INFO - Software: PID: 13208, Name: msedgewebview2.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,314 - INFO - Software: PID: 13584, Name: Code.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,315 - INFO - Software: PID: 13724, Name: conhost.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,324 - INFO - Software: PID: 13820, Name: svchost.exe, Username: None
2025-06-13 03:11:40,325 - INFO - Software: PID: 14052, Name: msedgewebview2.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
